11/04/2026 09:53:21 | INFO     | _processar_fila      | Log iniciado: log_automacao_nf_20260411_095321.txt (Formato: TXT)
11/04/2026 09:53:21 | INFO     | _processar_fila      | Instância anterior do SGA encontrada, encerrando...
11/04/2026 09:53:23 | INFO     | _processar_fila      | Instância encerrada.
11/04/2026 09:53:23 | INFO     | _processar_fila      | Abrindo SGA: C:\\Users\\mateussouza\\Desktop\\QA\\SGA\\sac4win\\SGA.exe
11/04/2026 09:53:23 | INFO     | _processar_fila      | Aguardando SGA abrir (10 segundos)...
11/04/2026 09:53:33 | INFO     | _processar_fila      | Janela de login identificada com sucesso
11/04/2026 09:53:34 | INFO     | _processar_fila      | Iniciando fluxo de login
11/04/2026 09:53:35 | INFO     | _processar_fila      | Botão Entrar clicado
11/04/2026 09:53:45 | INFO     | _processar_fila      | Login realizado com sucesso
